NodeID,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Timestamp
r6,-0.785156,-0.119629,0.539185,-0.366211,4.150391,4.577637,2026-04-20T14:57:33.308936+00:00
r6,-0.793823,-0.138672,0.586182,0.549316,5.065918,3.78418,2026-04-20T14:57:33.337963+00:00
r6,-0.799561,-0.196167,0.669067,1.403809,2.258301,3.662109,2026-04-20T14:57:33.368003+00:00
r6,-0.797974,-0.130005,0.516846,4.211426,4.455566,3.295898,2026-04-20T14:57:33.397366+00:00
r6,-0.81665,-0.172119,0.715088,0.244141,5.065918,3.295898,2026-04-20T14:57:33.427369+00:00
r6,-0.765625,-0.156006,0.490479,1.464844,3.601074,3.295898,2026-04-20T14:57:33.456619+00:00
r6,-0.821777,-0.208618,0.707764,5.371094,0.244141,1.525879,2026-04-20T14:57:33.486942+00:00
r6,-0.7677,-0.19751,0.557495,2.197266,0.793457,1.525879,2026-04-20T14:57:33.516950+00:00
r6,-0.810669,-0.165283,0.505371,1.342773,3.601074,1.77002,2026-04-20T14:57:33.547370+00:00
r6,-0.813477,-0.212524,0.770996,2.990723,5.371094,1.77002,2026-04-20T14:57:33.577379+00:00
r6,-0.819092,-0.184082,0.610474,8.422852,3.78418,1.159668,2026-04-20T14:57:33.607381+00:00
r6,-0.756714,-0.192993,0.543701,3.723145,6.347656,1.647949,2026-04-20T14:57:33.637397+00:00
r6,-0.805542,-0.208496,0.679199,2.01416,-3.417969,-0.427246,2026-04-20T14:57:33.668388+00:00
r6,-0.771606,-0.123657,0.5177,1.403809,0.915527,0.732422,2026-04-20T14:57:33.697381+00:00
r6,-0.807739,-0.193359,0.616089,2.746582,0.061035,-0.366211,2026-04-20T14:57:33.728391+00:00
r6,-0.7854,-0.197754,0.63147,3.356934,0.549316,-0.244141,2026-04-20T14:57:33.759409+00:00
r6,-0.798706,-0.161621,0.572998,3.356934,0.061035,-0.366211,2026-04-20T14:57:33.790412+00:00
r6,-0.772705,-0.159302,0.56311,2.624512,0.976562,0.244141,2026-04-20T14:57:33.819996+00:00
r6,-0.799316,-0.164429,0.578857,2.441406,0.915527,-0.061035,2026-04-20T14:57:33.850004+00:00
r6,-0.780273,-0.179932,0.603271,2.990723,0.610352,-0.12207,2026-04-20T14:57:33.880985+00:00
r6,-0.800537,-0.176758,0.602051,2.929688,0.366211,-0.12207,2026-04-20T14:57:33.912010+00:00
r6,-0.785278,-0.171387,0.590698,2.685547,0.305176,-0.061035,2026-04-20T14:57:33.942466+00:00
r6,-0.79541,-0.168091,0.586304,2.807617,0.671387,0.0,2026-04-20T14:57:33.973050+00:00
r6,-0.78772,-0.166992,0.591309,2.624512,0.732422,0.0,2026-04-20T14:57:34.001015+00:00
r6,-0.791748,-0.174561,0.593994,2.929688,0.488281,-0.061035,2026-04-20T14:57:34.031432+00:00
r6,-0.791748,-0.173096,0.59375,2.990723,0.427246,-0.183105,2026-04-20T14:57:34.062434+00:00
r6,-0.786743,-0.169067,0.59314,2.807617,0.732422,-0.061035,2026-04-20T14:57:34.093503+00:00
r6,-0.792725,-0.170166,0.589233,2.624512,0.427246,-0.183105,2026-04-20T14:57:34.123019+00:00
r6,-0.786621,-0.170166,0.592651,2.868652,0.549316,-0.061035,2026-04-20T14:57:34.153444+00:00
r6,-0.791992,-0.162231,0.584717,2.685547,0.427246,0.0,2026-04-20T14:57:34.183454+00:00
r6,-0.787231,-0.167236,0.583496,2.502441,0.915527,0.0,2026-04-20T14:57:34.213449+00:00
r6,-0.792725,-0.172241,0.596191,2.624512,0.549316,-0.12207,2026-04-20T14:57:34.244451+00:00
r6,-0.790527,-0.17749,0.596924,2.929688,0.488281,-0.12207,2026-04-20T14:57:34.275451+00:00
r6,-0.790405,-0.171997,0.589478,2.807617,0.732422,-0.12207,2026-04-20T14:57:34.306033+00:00
r6,-0.790039,-0.167969,0.5896,2.746582,0.671387,0.061035,2026-04-20T14:57:34.336046+00:00
r6,-0.790161,-0.172119,0.590088,2.624512,0.793457,-0.12207,2026-04-20T14:57:34.365871+00:00
r6,-0.792969,-0.172974,0.593262,2.746582,0.610352,-0.183105,2026-04-20T14:57:34.396457+00:00
r6,-0.789429,-0.172729,0.593994,2.868652,0.671387,-0.244141,2026-04-20T14:57:34.426050+00:00
r6,-0.789673,-0.170532,0.590454,2.807617,0.610352,-0.244141,2026-04-20T14:57:34.456057+00:00
r6,-0.788452,-0.169922,0.5896,2.685547,0.610352,-0.061035,2026-04-20T14:57:34.487110+00:00
r6,-0.790039,-0.172607,0.589355,2.807617,0.549316,0.0,2026-04-20T14:57:34.517467+00:00
r6,-0.791504,-0.172119,0.592896,2.807617,0.427246,-0.12207,2026-04-20T14:57:34.548479+00:00
r6,-0.790649,-0.171997,0.591919,2.929688,0.610352,-0.061035,2026-04-20T14:57:34.579483+00:00
r6,-0.790161,-0.172363,0.59375,2.807617,0.549316,-0.183105,2026-04-20T14:57:34.610056+00:00
r6,-0.789429,-0.171265,0.588379,2.929688,0.610352,-0.12207,2026-04-20T14:57:34.641068+00:00
